interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
TwentyFiveGigE1/0/13,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.572d,78bc.1af2.572d,,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,0:00:00,0:00:05,never,fifo,15743000,42067000,57994619955,40791071857,0,0,,0
TwentyFiveGigE1/0/14,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.572e,78bc.1af2.572e,,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,0:00:00,0:00:05,never,fifo,9121000,72419000,51091704147,45766322642,59,0,,0
TwentyFiveGigE1/0/19,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5733,78bc.1af2.5733,[L2] BLR-3220-FW-2 1/18,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:05,0:00:04,never,fifo,166956000,45623000,1.23782E+11,80870115116,0,0,,0
TwentyFiveGigE1/0/20,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5734,78bc.1af2.5734,[L2] BLR-3220-FW-1 1/18,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:05,0:00:00,never,fifo,0,0,3995705,5493729,0,0,,0
TwentyFiveGigE1/0/21,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.535f,78bc.1af2.535f,[L3] BLR-ASR1K-AWS-1 TE0/0/0,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:14,0:00:04,never,fifo,3919000,775000,2127808943,1896782617,0,0,,0
TwentyFiveGigE1/0/22,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5736,78bc.1af2.5736,Dual-Active Detection,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,never,32w2d,never,fifo,0,0,0,1,0,0,,0
TwentyFiveGigE1/0/23,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5737,78bc.1af2.5737,VSW Link to Peer,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,never,32w2d,never,fifo,191000,95000,519079012,754156686,0,0,,0
TwentyFiveGigE1/0/24,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5738,78bc.1af2.5738,VSW Link to Peer,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,never,32w2d,never,fifo,186000,14000,1101479453,140688146,0,0,,0
TwentyFiveGigE2/0/1,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52c1,78bc.1af2.52c1,[L2] BLR-9300-IDF7-SW1-TE1/1/2,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:19,0:00:00,never,fifo,0,18000,25857811,725020228,0,0,,0
TwentyFiveGigE2/0/3,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52c3,78bc.1af2.52c3,[L2] BLR-9300-IDF6-SW1-TE1/1/2,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:06,0:00:00,never,fifo,9000,16000,30278231,288418883,0,0,,0
TwentyFiveGigE2/0/4,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52c4,78bc.1af2.52c4,[L2] BLR-9300-IDF6-SW1-TE5/1/2,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:10,0:00:01,never,fifo,0,9000,38191663,586151122,0,0,,0
TwentyFiveGigE2/0/7,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52c7,78bc.1af2.52c7,[L2] BLR-9300-IDF6-S3-TE1/1/2,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:01,0:00:01,never,fifo,9000,5000,135096176,124135116,0,0,,0
TwentyFiveGigE2/0/8,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52c8,78bc.1af2.52c8,[L2] BLR-9300-IDF6-S3-TE5/1/2,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:22,0:00:01,never,fifo,0,16000,17673196,622647870,0,0,,0
TwentyFiveGigE2/0/9,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52c9,78bc.1af2.52c9,[L2] BLR-9300-IDF6-S4-TE1/1/2,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:02,0:00:01,never,fifo,1468000,29400000,51572735658,87614205386,0,0,,0
TwentyFiveGigE2/0/11,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52cb,78bc.1af2.52cb,,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,0:00:00,0:00:00,never,fifo,15993000,39449000,61015060791,49209064476,0,0,,0
TwentyFiveGigE2/0/12,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52cc,78bc.1af2.52cc,,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,0:00:01,0:00:01,never,fifo,4142000,32293000,21351505547,43042981016,13,0,,0
TwentyFiveGigE2/0/13,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52cd,78bc.1af2.52cd,,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,0:00:10,0:00:03,never,fifo,5353000,40206000,22692989421,44006502771,40,0,,0
TwentyFiveGigE2/0/14,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52ce,78bc.1af2.52ce,,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,0:00:13,0:00:03,never,fifo,17870000,41724000,49738785990,42024633128,54,0,,0
TwentyFiveGigE2/0/19,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52d3,78bc.1af2.52d3,[L2] BLR-3220-FW-2 1/17,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:01,0:00:03,never,fifo,152950000,20779000,1.26128E+11,71670902988,0,0,,0
TwentyFiveGigE2/0/20,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52d4,78bc.1af2.52d4,[L2] BLR-3220-FW-1 1/17,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:08,0:00:01,never,fifo,0,0,4039850,19674558,1,1,,0
TwentyFiveGigE2/0/21,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.535f,78bc.1af2.535f,[L3] BLR-ASR1K-AWS-1 TE0/0/1,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:15,0:00:02,never,fifo,6501000,378000,3243866084,1711203115,0,0,,0
TwentyFiveGigE2/0/22,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52d6,78bc.1af2.52d6,Dual-Active Detection,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,32w2d,never,never,fifo,0,0,86,3,0,0,,0
TwentyFiveGigE2/0/23,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52d7,78bc.1af2.52d7,VSW Link to Peer,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,never,never,never,fifo,92000,189000,754269049,519123783,0,0,,0
TwentyFiveGigE2/0/24,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.52d8,78bc.1af2.52d8,VSW Link to Peer,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,never,never,never,fifo,13000,183000,140903516,1101652920,0,0,,0
Port-channel2,up,up (connected),EtherChannel,78bc.1af2.52c4,78bc.1af2.52c4,[L2] BLR-9300-IDF6-SW1,,9216,Full-duplex,10Gb/s,N/A,40000000 Kbit,10 usec,ARPA,0:00:37,0:00:00,never,fifo,8000,32000,316613544,1235929250,0,0,,0
Port-channel3,up,up (connected),EtherChannel,78bc.1af2.5725,78bc.1af2.5725,[L2] BLR-9300-IDF6-SW2,,9216,Full-duplex,10Gb/s,N/A,10000000 Kbit,10 usec,ARPA,0:05:42,0:00:00,never,fifo,1236000,546000,52841623403,52333369714,0,0,,0
Port-channel4,up,up (connected),EtherChannel,78bc.1af2.52c7,78bc.1af2.52c7,[L2] BLR-9300-IDF6-SW3,,9216,Full-duplex,10Gb/s,N/A,40000000 Kbit,10 usec,ARPA,0:00:14,0:00:00,never,fifo,13000,35000,181956849,1017194882,0,0,,0
Port-channel5,up,up (connected),EtherChannel,78bc.1af2.52c9,78bc.1af2.52c9,[L2] BLR-9300-IDF6-SW4,,9216,Full-duplex,10Gb/s,N/A,20000000 Kbit,10 usec,ARPA,0:00:00,0:00:06,never,fifo,107243000,132072000,1.55413E+11,2.09774E+11,0,0,,0
